,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date,img_url1,img_url2,img_url3,img_url4,img_url5
12,Apple,iPhone 11 Pro 512GB Midnight Green (MWCV2),iOS,943,34617,29610,45999,76,5.8,512,3190,19-Sep,/imagephone/apple/iphone-11-Green-1.jpg,/imagephone/apple/iphone-11-Green-2.jpg,/imagephone/apple/iphone-11-Green-3.jpg,/imagephone/apple/iphone-11-Green-4.jpg,/imagephone/apple/iphone-11-Green-5.jpg
13,Apple,iPhone 11 Pro Max 256GB Dual Sim Gold (MWF32),iOS,756,38918,32699,48020,16,6.5,256,3969,19-Oct,/imagephone/apple/iphone-11-BronzeYellow-1.jpg,/imagephone/apple/iphone-11-BronzeYellow-2.jpg,/imagephone/apple/iphone-11-BronzeYellow-3.jpg,/imagephone/apple/iphone-11-BronzeYellow-4.jpg,/imagephone/apple/iphone-11-BronzeYellow-5.jpg
14,Apple,iPhone 11 Pro Max 256GB Midnight Green (MWH72),iOS,1119,35280,30174,42499,82,6.5,256,3969,19-Sep,/imagephone/apple/iphone-11-Green-1.jpg,/imagephone/apple/iphone-11-Green-2.jpg,/imagephone/apple/iphone-11-Green-3.jpg,/imagephone/apple/iphone-11-Green-4.jpg,/imagephone/apple/iphone-11-Green-5.jpg
15,Apple,iPhone 11 Pro Max 512GB Black (MWF62),iOS,379,42968,37639,46399,34,6.5,512,3969,19-Oct,/imagephone/apple/iphone-11pro-black-1.jpg,
16,Apple,iPhone 11 Pro Max 512GB White (MWH82),iOS,1069,38447,28050,49499,73,6.5,512,3969,19-Sep,/imagephone/apple/iphone-11pro-white-1.jpg,/imagephone/apple/iphone-11pro-white-2.jpg,/imagephone/apple/iphone-11pro-white-3.jpg,/imagephone/apple/iphone-11pro-white-4.jpg,/imagephone/apple/iphone-11pro-white-5.jpg
17,Apple,iPhone 11 Pro Max 64GB White (MWEV2),iOS,628,32583,29328,35717,37,6.5,64,3969,19-Oct,/imagephone/apple/iphone-11pro-white-1.jpg,/imagephone/apple/iphone-11pro-white-2.jpg,/imagephone/apple/iphone-11pro-white-3.jpg,/imagephone/apple/iphone-11pro-white-4.jpg,/imagephone/apple/iphone-11pro-white-5.jpg
18,Apple,iPhone 11 Pro Max 64GB Black (MWEV2),iOS,624,32583,29328,35717,37,6.5,64,3969,19-Oct,/imagephone/apple/iphone-11pro-black-1.jpg,
19,Apple,iPhone 11 Pro Max 64GB Green (MWGY2; MWHD2),iOS,1176,32053,26999,40999,75,6.5,64,3969,19-Sep,/imagephone/apple/iphone-11-Green-1.jpg,/imagephone/apple/iphone-11-Green-2.jpg,/imagephone/apple/iphone-11-Green-3.jpg,/imagephone/apple/iphone-11-Green-4.jpg,/imagephone/apple/iphone-11-Green-5.jpg
20,Apple,iPhone 12 128GB Black (MGJA3/MGHC3),iOS,1213,28735,25380,35499,125,6.1,128,2815,20-Oct,/imagephone/apple/iphone-12-black-1.jpg,/imagephone/apple/iphone-12-black-2.jpg,/imagephone/apple/iphone-12-black-3.jpg,/imagephone/apple/iphone-12-black-4.jpg,/imagephone/apple/iphone-12-black-5.jpg
21,Apple,iPhone 12 128GB White,iOS,846,29168,27847,36530,32,6.1,128,2815,20-Oct,/imagephone/apple/iphone-12-white-1.jpg,/imagephone/apple/iphone-12-white-2.jpg,/imagephone/apple/iphone-12-white-3.jpg,/imagephone/apple/iphone-12-white-4.jpg,/imagephone/apple/iphone-12-white-5.jpg
22,Apple,iPhone 12 128GB Red,iOS,1213,28735,25380,35499,125,6.1,128,2815,20-Oct,/imagephone/apple/iphone-12-red-1.jpg,/imagephone/apple/iphone-12-red-2.jpg,/imagephone/apple/iphone-12-red-3.jpg,/imagephone/apple/iphone-12-red-4.jpg,/imagephone/apple/iphone-12-red-5.jpg
23,Apple,iPhone 12 128GB Blue,iOS,846,29168,27847,36530,32,6.1,128,2815,20-Oct,/imagephone/apple/iphone-12-blue-1.jpg,/imagephone/apple/iphone-12-blue-2.jpg,/imagephone/apple/iphone-12-blue-3.jpg,/imagephone/apple/iphone-12-blue-4.jpg,/imagephone/apple/iphone-12-blue-5.jpg
24,Apple,iPhone 12 128GB Green,iOS,846,29168,27847,36530,32,6.1,128,2815,20-Oct,/imagephone/apple/iphone-12-green-1.jpg,/imagephone/apple/iphone-12-green-2.jpg,/imagephone/apple/iphone-12-green-3.jpg,/imagephone/apple/iphone-12-green-4.jpg,/imagephone/apple/iphone-12-green-5.jpg
25,Apple,iPhone 12 256GB Black (MGJG3/MGHH3),iOS,1091,31795,29328,38999,93,6.1,256,2815,20-Oct,/imagephone/apple/iphone-12-black-1.jpg,/imagephone/apple/iphone-12-black-2.jpg,/imagephone/apple/iphone-12-black-3.jpg,/imagephone/apple/iphone-12-black-4.jpg,/imagephone/apple/iphone-12-black-5.jpg
26,Apple,iPhone 12 256GB White (MGH13),iOS,735,33660,30992,39340,22,6.1,256,2815,20-Oct,/imagephone/apple/iphone-12-white-1.jpg,/imagephone/apple/iphone-12-white-2.jpg,/imagephone/apple/iphone-12-white-3.jpg,/imagephone/apple/iphone-12-white-4.jpg,/imagephone/apple/iphone-12-white-5.jpg
27,Apple,iPhone 12 64GB Blue (MGJ83/MGH93),iOS,1205,26840,24665,33499,117,6.1,64,2815,20-Oct,/imagephone/apple/iphone-12-blue-1.jpg,/imagephone/apple/iphone-12-blue-2.jpg,/imagephone/apple/iphone-12-blue-3.jpg,/imagephone/apple/iphone-12-blue-4.jpg,/imagephone/apple/iphone-12-blue-5.jpg
28,Apple,iPhone 12 64GB Red (MGGP3),iOS,987,25792,24299,33720,40,6.1,64,2815,20-Oct,/imagephone/apple/iphone-12-red-1.jpg,/imagephone/apple/iphone-12-red-2.jpg,/imagephone/apple/iphone-12-red-3.jpg,/imagephone/apple/iphone-12-red-4.jpg,/imagephone/apple/iphone-12-red-5.jpg
29,Apple,iPhone 12 Pro 128GB Blue (MGLD3),iOS,1043,35507,33550,42999,37,6.1,128,2815,20-Oct,/imagephone/apple/iphone-12pro-blue-1.jpg,/imagephone/apple/iphone-12pro-blue-2.jpg,/imagephone/apple/iphone-12pro-blue-3.jpg,/imagephone/apple/iphone-12pro-blue-4.jpg,/imagephone/apple/iphone-12pro-blue-5.jpg
30,Apple,iPhone 12 Pro 128GB White (MGMN3/MGLR3),iOS,1224,33992,31849,42999,101,6.1,128,2815,20-Oct,/imagephone/apple/iphone-12pro-white-1.jpg,/imagephone/apple/iphone-12pro-white-2.jpg,/imagephone/apple/iphone-12pro-white-3.jpg,/imagephone/apple/iphone-12pro-white-4.jpg,/imagephone/apple/iphone-12pro-white-5.jpg
31,Apple,iPhone 12 Pro 128GB Gold (MGMN3/MGLR3),iOS,1224,33992,31849,42999,101,6.1,128,2815,20-Oct,/imagephone/apple/iphone-12pro-gold-1.jpg,/imagephone/apple/iphone-12pro-gold-2.jpg,/imagephone/apple/iphone-12pro-gold-3.jpg,/imagephone/apple/iphone-12pro-gold-4.jpg,/imagephone/apple/iphone-12pro-gold-5.jpg
