brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url1,img_url2,img_url3,img_url4,img_url5
Lenovo,ThinkBook,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,59990,112608,46,4.4,26,4,,,,,
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,Missing,0,No,No,59990,93690,35,3.9,44,6,,,,,
Lenovo,Yoga,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,Yes,87990,125890,30,4.7,28,6,,,,,
Lenovo,Thinkbook,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,3,Yes,Yes,68990,159180,56,4.6,44,8,,,,,
Lenovo,Missing,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,16,1,No,Yes,77990,80366,2,4.3,17,2,,,,,
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,No,Yes,69990,104890,33,4.6,10,2,,,,,
Lenovo,ThinkPad,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,3,No,No,147000,0,0,0,0,0,,,,,
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,55990,65438,14,4.2,75,9,,,,,
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,16,1,No,Yes,70990,113290,37,4.6,11,3,,,,,
Lenovo,ThinkPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,64990,77487,16,4.4,125,11,,,,,
Lenovo,Yoga,Intel,Core i5,10th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,2,Casual,Missing,1,No,Yes,70798,101090,29,4,21,3,,,,,
Lenovo,Legion,Intel,Core i5,9th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,Missing,0,No,No,59990,84990,29,3.8,9,1,,,,,
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,2,No,Yes,62998,79890,21,4.3,739,71,,,,,
Lenovo,X390,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,113590,120000,5,0,0,0,,,,,
Lenovo,ThinkPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,67990,76915,11,4.8,9,0,,,,,
Lenovo,ThinkPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,65990,75879,13,4.1,31,2,,,,,
Lenovo,IdeaPad,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,Missing,2,No,Yes,58999,65999,10,4.4,45,3,,,,,
Lenovo,Thinpad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,Missing,0,No,No,89998,101525,11,0,0,0,,,,,
Lenovo,IdeaPad,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,Missing,0,No,No,69899,73899,5,4.3,474,37,,,,,
Lenovo,Ideapad,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,55999,89999,37,0,0,0,,,,,
lenovo,Yoga,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,171998,237890,27,0,0,0,,,,,
Lenovo,Yoga,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,Yes,Yes,82990,117490,29,0,0,0,,,,,
Lenovo,Ideapad,Intel,Core i5,8th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,Missing,1,No,Yes,59999,80000,25,4.4,22,3,,,,,
Lenovo,Yoga,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,No,Yes,91999,92000,0,4.6,16,2,,,,,
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,0,No,No,60990,93690,34,3.9,14,6,,,,,
Lenovo,Ideapad,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,14,1,Yes,Yes,86999,109000,20,4.7,3,0,,,,,
Lenovo,Ideapad,Intel,Core i5,8th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,Yes,74990,83458,10,3.3,3,1,,,,,
Lenovo,Missing,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,15.6,1,No,Yes,84086,0,0,3.5,8,3,,,,,
Lenovo,ThinkBook,Intel,Core i5,11th,8 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,Yes,64990,121608,46,3,4,0,,,,,
Lenovo,ThinkPad,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,512 GB,Windows,64-bit,0,ThinNlight,16,3,Yes,No,155411,0,0,0,0,0,,,,,
