brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url,img_url2,img_url3,img_url4,img_url5
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,73990,92600,20,4.5,195,17,,,,,
DELL,Missing,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,16,0,No,No,73519,88400,16,0,0,0,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,16,1,Yes,Yes,82990,94600,12,4.5,21,2,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,Missing,1,Yes,Yes,79990,88600,9,4.8,5,0,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,16,0,No,No,71290,95136,25,0,0,0,,,,,
DELL,Inspiron,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,79500,99433,20,4.3,10,1,,,,,
DELL,Inspiron,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,Missing,1,No,Yes,82990,107786,23,3.7,15,3,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,Missing,1,No,Yes,70980,76094,6,4.4,138,23,,,,,
DELL,Missing,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,16,0,Yes,No,82990,94890,12,4.4,16,3,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,Yes,78900,84900,7,3.6,16,1,,,,,
DELL,Inspiron,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,70190,90783,22,3.5,6,3,,,,,
DELL,Missing,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,14,1,Yes,No,79590,106082,24,0,0,0,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,0,No,No,74190,83417,11,4.5,21,3,,,,,
DELL,Vostro,Intel,Core i5,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,48990,70286,30,3.6,470,46,,,,,
DELL,Missing,Intel,Core i5,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,Missing,0,No,No,58090,59990,3,0,0,0,,,,,
DELL,Missing,Intel,Core i5,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,Missing,0,No,No,58990,68900,14,0,0,0,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,57990,74833,22,4.2,47,0,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,2,Casual,15.6,1,No,No,62490,86199,27,3.9,157,20,,,,,
DELL,Inspiron,Intel,Core i5,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,14.9,1,No,Yes,55790,60078,7,4.2,41,4,,,,,
DELL,Vostro,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,54990,80284,31,3.8,353,28,,,,,
DELL,3511,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,2,Casual,15.6,1,No,No,69900,87320,19,0,0,0,,,,,
DELL,Vostro,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,58990,74066,20,4,8,1,,,,,
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,2,Casual,Missing,0,No,No,66490,88519,24,3.8,6,1,,,,,
DELL,G3,Intel,Core i5,10th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Casual,Missing,0,No,No,77900,82300,5,4.3,179,34,,,,,
