Model,Release date,maxResolution,lowResolution,effectivePixels,zoomWide,zoomTele,normalFocusRange,macroFocusRange,storageIncluded,weight,Dimensions,Price,img_url1,img_url2,img_url3,img_url4,img_url5
Fujifilm FinePix S8000 fd,2007,3264,2304,8,27,486,70,10,58,510,111,399,/imagecamera/fujiflim/fujiflim-S8000-1-1.jpg,
Fujifilm FinePix S9000 Z,2005,3488,2592,9,28,300,50,1,16,745,128,229,/imagecamera/fujiflim/fujiflim-S9000-1-1.jpeg,
Fujifilm FinePix S9100,2006,3488,2592,9,28,300,0,0,0,750,128,229,/imagecamera/fujiflim/fujiflim-S9100-1-1.jpg,
Fujifilm FinePix V10 Zoom,2006,2592,2048,5,36,130,60,9,16,185,83,179,/imagecamera/fujiflim/fujiflim-V10-1-1.jpg,/imagecamera/fujiflim/fujiflim-V10-1-2.jpg,/imagecamera/fujiflim/fujiflim-V10-1-3.jpg,
Fujifilm FinePix Z1,2005,2592,2048,5,36,108,60,8,16,170,90,179,/imagecamera/fujiflim/fujiflim-Z1-1-1.jpg,/imagecamera/fujiflim/fujiflim-Z1-1-2.jpg,
Fujifilm FinePix Z10  fd,2007,3072,2304,7,38,114,60,8,54,160,91,399,/imagecamera/fujiflim/fujiflim-Z10-1-1.jpg,/imagecamera/fujiflim/fujiflim-Z10-1-2.jpg,/imagecamera/fujiflim/fujiflim-Z10-1-3.jpg,/imagecamera/fujiflim/fujiflim-Z10-1-4.jpg,/imagecamera/fujiflim/fujiflim-Z10-1-5.jpg,
Fujifilm FinePix Z2,2005,2592,2048,5,36,108,60,8,16,170,90,179,/imagecamera/fujiflim/fujiflim-Z2-1-1.jpg,/imagecamera/fujiflim/fujiflim-Z2-1-2.jpg,/imagecamera/fujiflim/fujiflim-Z2-1-3.jpg,
Fujifilm FinePix IS Pro,2007,4256,3024,6,0,0,0,0,0,920,147,1699,/imagecamera/fujiflim/fujiflim-IS-1-1.png,
Fujifilm FinePix S3 Pro,2004,4256,3024,6,0,0,0,0,0,930,148,1699,/imagecamera/fujiflim/fujiflim-S3-1-1.png,
Fujifilm FinePix S5 Pro,2006,4256,3024,6,0,0,0,0,0,920,147,1699,/imagecamera/fujiflim/fujiflim-S5-1-1.png,
